,,,,,,,
,Nom,Habitants,Superficie,Position,Cotier,Voisins,Politique
,Auvergne-Rhône-Alpes,8197325,69691,SE,0,5,LR
,Bourgogne-Franche-Comté,2786296,47794,NE,0,4,PS
,Bretagne,3429882,27211,NO,1,2,PS
,Centre-Val de Loire,2572278,39149,NO,0,6,PS
,Corse,351255,8677,SE,1,0,FaC
,Grand Est,5562262,57389,NE,0,3,DVD
,Hauts-de-France,5980697,31807,NE,1,3,LR
,Île-de-France,12358932,12004,NE,0,5,LR
,Normandie,3317023,29850,NO,1,5,LC
,Nouvelle-Aquitaine,6110365,84048,SO,1,4,PS
,Occitanie,6101005,72738,SO,1,3,PS
,Pays de la Loire,3907426,32066,NO,1,4,LR
,Provence-Alpes-Côte d'Azur,5160091,31419,SE,1,2,RE
